Town	num_pos	num_neg	num_unclear	percent_pos
Hadchit	0	1	0	0
Hailane	0	1	0	0
Halate	1	1	0	50
Halba	1	1	0	50
Hamat	0	18	0	0
Hardine	0	2	0	0
Haret El Faouar	0	4	0	0
Haret El Khasseh	1	3	0	25
Haret Hreik	0	4	0	0
Harf (Ardeh)	7	34	0	17.0731707317073
Harf (Miziara)	4	79	0	4.81927710843374
Hariq Zgharta	1	4	0	20
Hasroun	0	1	0	0
Hayata	0	1	0	0
Hazmiyeh (Baabda)	5	15	0	25
Hermel	0	1	0	0
Himlaya	116	588	12	16.4772727272727
Hmaiss	0	25	1	0
Hokr Ech Cheikh Taba	0	1	0	0
Hosrayel	0	2	0	0
Hraykes	0	19	0	0
Ijdaabrine	0	10	0	0
Ijdabra	0	13	0	0
Jaaita	0	4	0	0
Jall Ed Dib	2	6	1	25
Jbeil	5	20	0	20
Jdaidet Ej Joumeh	2	1	0	66.6666666666667
Jdaidet El Matn	1	8	0	11.1111111111111
Jebrayel (Aakkar)	0	4	0	0
Jouar	0	1	0	0
Joubb Jannine	0	1	0	0
Jounieh	1	18	0	5.26315789473684
Jouret El Ballout	0	2	0	0
Jrane	0	1	0	0
Kafra (Bent Jbeil)	0	1	0	0
Kaftoun	1	7	0	12.5
Kahhaleh	0	2	0	0
Karm Saddeh	3	28	0	9.67741935483871
Kefraiya (El-Koura)	2	33	0	5.71428571428571
Kefraiya (Zgharta)	0	4	0	0
Keyfoun	0	1	0	0
Kfar Aabida	0	35	0	0
Kfar Aaqab	1	34	2	2.85714285714286
Kfar Aaqqa	4	49	1	7.54716981132075
Kfar Chakhna	2	10	0	16.6666666666667
Kfar Chima	0	4	0	0
Kfar Dlaqous	9	50	0	15.2542372881356
Kfar Fou	6	33	0	15.3846153846154
Kfar Habou	1	9	0	10
Kfar Haoura	1	14	0	6.66666666666667
Kfar Harra	2	67	0	2.89855072463768
Kfar Hata (El-Koura)	0	11	0	0
Kfar Hata (Zgharta)	32	69	1	31.6831683168317
Kfar Hazir	13	116	2	10.077519379845
Kfar Him	0	0	1	NA
Kfar Qahel	1	14	2	6.66666666666667
Kfar Saroun (El-Koura)	3	36	0	7.69230769230769
Kfar Sghab	0	4	0	0
Kfar Tay (Matn)	0	2	0	0
Kfar Yachit	3	5	0	37.5
Kfar Yassine	0	1	0	0
Kfar Zeina	4	32	0	11.1111111111111
Kfifane	0	6	0	0
Kfour El Aarbi	0	1	0	0
Khinchara	1	17	0	5.55555555555556
Koubba	0	12	0	0
Kousba	30	244	3	10.9489051094891
Laylakeh	1	0	0	100
Louayzeh	0	2	0	0
Machha	1	0	0	100
Maghdoucheh	0	3	0	0
Majdel (El-Koura)	15	44	1	25.4237288135593
Majdel Baana	0	1	0	0
Majdelyoun	0	1	0	0
Mansouriyeh	4	25	0	13.7931034482759
Mar Boutros Karm Et Tine	1	14	0	6.66666666666667
Mar Chaaya	0	1	0	0
Mar Moussa Ed Douar	0	6	1	0
Marjaba	1	1	0	50
Markebta	0	4	0	0
Mayasseh	10	32	0	23.8095238095238
Mazboud	0	1	0	0
Mazraa	0	18	0	0
Mazraat Et Teffah	1	4	0	20
Mazraat Yachouaa	19	51	3	27.1428571428571
Mechmech (Aakkar)	0	1	0	0
Mejdlaiya (Aaley)	0	1	0	0
Mejdlaiya (Zgharta)	20	140	1	12.5
Mhaiydseh	1	1	0	50
Mina	9	25	0	26.4705882352941
Minet el-Hosn	0	1	0	0
Minieh	0	5	0	0
Minyara	0	2	0	0
Miriata	1	5	0	16.6666666666667
Miziara	137	1399	10	8.91927083333333
Mkalles	0	2	0	0
Mounsef	1	4	1	20
Mrouj	1	7	0	12.5
Msaitbeh	2	12	0	14.2857142857143
Mtain	0	6	1	0
Mtayleb	3	9	0	25
Naameh	0	1	0	0
Nabay	0	2	0	0
Nakhleh	2	14	0	12.5
Naqqach	0	6	0	0
Nimrine	1	0	0	100
Ouadi Chahrour Es Soufla	0	5	0	0
Ouadi Jezzine	0	1	0	0
Ouata El Mrouj	0	7	0	0
Ouata Houb	0	3	0	0
Qaaqour	0	13	0	0
Qabaait	0	1	0	0
Qalamoun	0	4	0	0
Qalhat	7	141	1	4.72972972972973
Qarah Bach	2	9	0	18.1818181818182
Qartaba	25	207	3	10.7758620689655
Qbaiyat (Aakkar)	26	169	1	13.3333333333333
Qennabet Broummana	0	3	0	0
Qennabet Salima	0	1	0	0
Qleiaat	0	1	0	0
Qobbayaa	0	2	0	0
Qornayel	0	25	7	0
Qornet Chehouane	5	22	0	18.5185185185185
Qornet El Hamra	0	48	0	0
Rabiyeh	0	5	1	0
Rachaaine	7	64	1	9.85915492957746
Rachaiya	0	2	0	0
Rahbeh	0	10	0	0
Ras Beirut	0	9	0	0
Ras El Harf	0	3	0	0
Ras Kifa	0	7	0	0
Ras Masqa	4	25	1	13.7931034482759
Ras Nahhach	0	1	0	0
Rayfoun	0	1	0	0
Rechdibbine	1	31	1	3.125
Remeil	0	1	0	0
Rimhala	0	3	0	0
Riyaq	0	1	0	0
Rmeileh (Chouf)	0	1	0	0
Roumieh	8	175	3	4.37158469945355
Sadd El Baouchriyeh	0	3	0	0
Safra	0	2	0	0
Saifeh	0	1	0	0
Sakhra	0	6	0	0
Salima (Baabda)	0	4	0	0
Saqiet El Misk	0	4	0	0
Sarhmoul	0	1	0	0
Sebaal	0	23	0	0
Sehayleh	0	2	0	0
Selaata	0	1	0	0
Seraal	0	8	0	0
Sfinet Ed Draib	0	1	0	0
Sghar	0	1	0	0
Sibnay	1	0	0	100
Sinn El Fil	0	10	0	0
Sir	0	1	0	0
Souq El Gharb	0	5	0	0
Sourat	0	3	0	0
Tabarja	0	1	0	0
Tahouitet En Nahr	0	1	0	0
Tannourine El Faouqa	0	1	0	0
Tannourine Et Tahta	0	2	0	0
Toula Ej Joubbeh	1	8	0	11.1111111111111
Tripoli	10	67	0	12.987012987013
Yahchouch	0	1	0	0
Zaaitreh	0	1	0	0
Zabbougha	0	2	0	0
Zahleh	1	6	0	14.2857142857143
Zahleh El Maallaqa	0	2	0	0
Zakrit	9	32	3	21.9512195121951
Zakroun	0	17	0	0
Zalqa	0	3	0	0
Zaraaoun	3	16	5	15.7894736842105
Zgharta	137	752	5	15.4105736782902
Zgharta El Mtaouileh	0	1	0	0
Zghartaghrine	0	1	0	0
Zhilta	0	1	0	0
Zighrine	0	8	0	0
Zouk Mkayel	1	6	0	14.2857142857143
Zouk Mosbeh	0	12	2	0
Zouq El Kharab	1	5	0	16.6666666666667
Zqaq el-Blat	0	1	0	0
